object-id,district,timeperiod,risk-score,topsis-score,flood-hazard,exposure,vulnerability,government-response,max-temp,mean-rain,mean-ndvi,sum-population,total-hhd,forest-cover-pct,mean-sex-ratio,sum-aged-population,poverty-rate,fire-stations-count,emergency-budget,response-personnel
00,ASUNCIÓN,2025_04,5,0.8503,2,3,4,3,31.8,0.51,0.192,173831,25306,32.0,1049.2,14840,35.8,4,1965.6,153
00,ASUNCIÓN,2025_05,5,0.6962,2,3,1,2,31.2,5.62,0.731,39720,8047,21.4,997.0,11355,32.9,2,1617.5,157
00,ASUNCIÓN,2025_06,1,0.6113,1,2,5,3,38.7,1.11,0.687,163405,32157,54.9,968.3,20994,39.3,6,466.4,100
00,ASUNCIÓN,2025_07,4,0.2925,2,5,2,4,33.4,7.89,0.642,201496,39230,48.5,946.3,5882,35.7,4,1958.2,135
00,ASUNCIÓN,2025_08,5,0.5886,2,2,5,3,35.7,5.8,0.593,9135,10124,2.1,1050.7,20840,36.0,5,4625.0,176
00,ASUNCIÓN,2025_09,3,0.6768,3,3,5,3,34.9,1.13,0.418,16927,48529,11.0,1027.3,22704,30.0,3,89.3,50
00,ASUNCIÓN,2025_10,2,0.2446,4,4,3,5,36.6,1.07,0.616,198139,69918,22.7,948.9,6892,15.0,5,1386.0,187
00,ASUNCIÓN,2025_11,1,0.2951,4,2,5,1,28.8,1.2,0.601,158616,59991,16.8,981.0,14731,21.1,2,4425.4,31
00,ASUNCIÓN,2025_12,2,0.4666,4,1,1,4,38.7,3.41,0.706,173765,28228,19.9,942.8,5970,14.3,0,2345.5,111
00,ASUNCIÓN,2026_01,4,0.8103,5,5,2,1,40.7,3.91,0.401,27861,27750,20.4,983.7,23545,21.9,1,3202.2,96
00,ASUNCIÓN,2026_02,4,0.8962,4,2,1,5,41.4,4.78,0.585,223506,4809,52.2,1028.1,10009,43.0,0,3758.5,129
00,ASUNCIÓN,2026_03,3,0.8808,4,4,2,4,38.7,7.26,0.737,47973,46224,84.7,1052.2,16697,22.2,3,4550.5,129
00-00,ASUNCIÓN,2025_04,5,0.8503,2,3,4,3,31.8,0.51,0.192,173831,25306,32.0,1049.2,14840,35.8,4,1965.6,153
00-00,ASUNCIÓN,2025_05,5,0.6962,2,3,1,2,31.2,5.62,0.731,39720,8047,21.4,997.0,11355,32.9,2,1617.5,157
00-00,ASUNCIÓN,2025_06,1,0.6113,1,2,5,3,38.7,1.11,0.687,163405,32157,54.9,968.3,20994,39.3,6,466.4,100
00-00,ASUNCIÓN,2025_07,4,0.2925,2,5,2,4,33.4,7.89,0.642,201496,39230,48.5,946.3,5882,35.7,4,1958.2,135
00-00,ASUNCIÓN,2025_08,5,0.5886,2,2,5,3,35.7,5.8,0.593,9135,10124,2.1,1050.7,20840,36.0,5,4625.0,176
00-00,ASUNCIÓN,2025_09,3,0.6768,3,3,5,3,34.9,1.13,0.418,16927,48529,11.0,1027.3,22704,30.0,3,89.3,50
00-00,ASUNCIÓN,2025_10,2,0.2446,4,4,3,5,36.6,1.07,0.616,198139,69918,22.7,948.9,6892,15.0,5,1386.0,187
00-00,ASUNCIÓN,2025_11,1,0.2951,4,2,5,1,28.8,1.2,0.601,158616,59991,16.8,981.0,14731,21.1,2,4425.4,31
00-00,ASUNCIÓN,2025_12,2,0.4666,4,1,1,4,38.7,3.41,0.706,173765,28228,19.9,942.8,5970,14.3,0,2345.5,111
00-00,ASUNCIÓN,2026_01,4,0.8103,5,5,2,1,40.7,3.91,0.401,27861,27750,20.4,983.7,23545,21.9,1,3202.2,96
00-00,ASUNCIÓN,2026_02,4,0.8962,4,2,1,5,41.4,4.78,0.585,223506,4809,52.2,1028.1,10009,43.0,0,3758.5,129
00-00,ASUNCIÓN,2026_03,3,0.8808,4,4,2,4,38.7,7.26,0.737,47973,46224,84.7,1052.2,16697,22.2,3,4550.5,129
01,CONCEPCIÓN,2025_04,3,0.5543,4,2,3,3,41.3,4.08,0.446,1533324,640644,38.2,1019.5,184982,31.3,44,30592.8,1466
01,CONCEPCIÓN,2025_05,3,0.5116,3,3,3,3,40.7,3.97,0.53,1599463,531753,34.2,1011.2,145789,27.3,37,37227.0,1500
